"theta1","theta2","distance"
0.25,2,0.15147857149057
0.283333333333333,2,0.126829913456912
0.316666666666667,2,0.106424952293025
0.35,2,0.0909955190094584
0.383333333333333,2,0.0809042659689441
0.416666666666667,2,0.0771953729240719
0.45,2,0.0789857836334465
0.483333333333333,2,0.0862045459311195
0.516666666666667,2,0.0978112891039739
0.55,2,0.113648654781514
0.583333333333333,2,0.133146383759703
0.616666666666667,2,0.154873152819796
0.65,2,0.178536653751147
0.683333333333333,2,0.203672655799748
0.716666666666667,2,0.230181101930948
0.75,2,0.257894547583116
0.25,2.71871278175705,0.136697752753599
0.283333333333333,2.71871278175705,0.110469171014903
0.316666666666667,2.71871278175705,0.0884646022468962
0.35,2.71871278175705,0.0715809476084174
0.383333333333333,2.71871278175705,0.0606084475063079
0.416666666666667,2.71871278175705,0.0573643162587419
0.45,2.71871278175705,0.0609322693111915
0.483333333333333,2.71871278175705,0.0704866801293133
0.516666666666667,2.71871278175705,0.0852746710123974
0.55,2.71871278175705,0.104353794636873
0.583333333333333,2.71871278175705,0.125735841915108
0.616666666666667,2.71871278175705,0.148740122244149
0.65,2.71871278175705,0.17300283255139
0.683333333333333,2.71871278175705,0.198159797493722
0.716666666666667,2.71871278175705,0.224147576875219
0.75,2.71871278175705,0.251157521086799
0.25,3.69569959484458,0.125709295653584
0.283333333333333,3.69569959484458,0.0985523132423212
0.316666666666667,3.69569959484458,0.0749389688653418
0.35,3.69569959484458,0.0561918207311102
0.383333333333333,3.69569959484458,0.0441138140724894
0.416666666666667,3.69569959484458,0.0414082792566039
0.45,3.69569959484458,0.0473986672950663
0.483333333333333,3.69569959484458,0.060285332960868
0.516666666666667,3.69569959484458,0.0788778937407226
0.55,3.69569959484458,0.0999817049927755
0.583333333333333,3.69569959484458,0.122550610818769
0.616666666666667,3.69569959484458,0.145851120364763
0.65,3.69569959484458,0.169603032902446
0.683333333333333,3.69569959484458,0.193951182990777
0.716666666666667,3.69569959484458,0.219068562992647
0.75,3.69569959484458,0.245201079287857
0.25,5.02377286301916,0.118070254198589
0.283333333333333,5.02377286301916,0.0905225322408901
0.316666666666667,5.02377286301916,0.0656897395778393
0.35,5.02377286301916,0.0450183850934891
0.383333333333333,5.02377286301916,0.0311416326084881
0.416666666666667,5.02377286301916,0.0291332632497876
0.45,5.02377286301916,0.0382363838941537
0.483333333333333,5.02377286301916,0.0558772924560095
0.516666666666667,5.02377286301916,0.0768017559985441
0.55,5.02377286301916,0.0989404626847788
0.583333333333333,5.02377286301916,0.121319358781288
0.616666666666667,5.02377286301916,0.143951384578528
0.65,5.02377286301916,0.166958638981987
0.683333333333333,5.02377286301916,0.190514897127232
0.716666666666667,5.02377286301916,0.214828576236074
0.75,5.02377286301916,0.240155183921056
0.25,6.8290977476672,0.112210814240894
0.283333333333333,6.8290977476672,0.0853340386712896
0.316666666666667,6.8290977476672,0.060003678526357
0.35,6.8290977476672,0.0374986165992523
0.383333333333333,6.8290977476672,0.0214024886905729
0.416666666666667,6.8290977476672,0.0203844026744468
0.45,6.8290977476672,0.034543667089505
0.483333333333333,6.8290977476672,0.0551692185980545
0.516666666666667,6.8290977476672,0.0769067038976389
0.55,6.8290977476672,0.0986395656630252
0.583333333333333,6.8290977476672,0.120454862125147
0.616666666666667,6.8290977476672,0.142479911124584
0.65,6.8290977476672,0.164865434348023
0.683333333333333,6.8290977476672,0.187783097576298
0.716666666666667,6.8290977476672,0.211436970918937
0.75,6.8290977476672,0.2360801335055
0.25,9.28317766722556,0.107689060141181
0.283333333333333,9.28317766722556,0.0814685015687907
0.316666666666667,9.28317766722556,0.0566283115645644
0.35,9.28317766722556,0.0331421000205166
0.383333333333333,9.28317766722556,0.0143401197605406
0.416666666666667,9.28317766722556,0.0147728134377866
0.45,9.28317766722556,0.0343106787126481
0.483333333333333,9.28317766722556,0.0557978071779493
0.516666666666667,9.28317766722556,0.0771403938636923
0.55,9.28317766722556,0.098428361803758
0.583333333333333,9.28317766722556,0.119785960857499
0.616666666666667,9.28317766722556,0.141346145942698
0.65,9.28317766722556,0.163254102291772
0.683333333333333,9.28317766722556,0.185675583346926
0.716666666666667,9.28317766722556,0.208808354759523
0.75,9.28317766722556,0.232899058173415
0.25,12.6191468896039,0.104264060027052
0.283333333333333,12.6191468896039,0.0785606057721164
0.316666666666667,12.6191468896039,0.0541876100110245
0.35,12.6191468896039,0.0308517425596684
0.383333333333333,12.6191468896039,0.00984855712336209
0.416666666666667,12.6191468896039,0.0137333862349447
0.45,12.6191468896039,0.0351333539810347
0.483333333333333,12.6191468896039,0.0563120090060236
0.516666666666667,12.6191468896039,0.077314905239224
0.55,12.6191468896039,0.0982624355197566
0.583333333333333,12.6191468896039,0.119277579059016
0.616666666666667,12.6191468896039,0.140488767400181
0.65,12.6191468896039,0.162036284121684
0.683333333333333,12.6191468896039,0.184080363379526
0.716666666666667,12.6191468896039,0.206812372433508
0.75,12.6191468896039,0.230471430970735
0.25,17.1539179718179,0.101701350951665
0.283333333333333,17.1539179718179,0.0763941477379121
0.316666666666667,17.1539179718179,0.0523774653146543
0.35,17.1539179718179,0.0293621045640002
0.383333333333333,17.1539179718179,0.00736475675612874
0.416666666666667,17.1539179718179,0.0145609100288234
0.45,17.1539179718179,0.0357692923531999
