"regime_param_1","regime_param_2","m","kappa","distance"
0.25,1,0.25,1,0.197551642717699
0.283333333333333,1,0.283333333333333,1,0.177116970272576
0.316666666666667,1,0.316666666666667,1,0.160569292779381
0.35,1,0.35,1,0.147818704121758
0.383333333333333,1,0.383333333333333,1,0.139221875358127
0.416666666666667,1,0.416666666666667,1,0.135058552061563
0.45,1,0.45,1,0.134779678117415
0.483333333333333,1,0.483333333333333,1,0.138275466931407
0.516666666666667,1,0.516666666666667,1,0.145568234809924
0.55,1,0.55,1,0.156188759124339
0.583333333333333,1,0.583333333333333,1,0.16986100099257
0.616666666666667,1,0.616666666666667,1,0.186531571609427
0.65,1,0.65,1,0.206230051214725
0.683333333333333,1,0.683333333333333,1,0.228484168711653
0.716666666666667,1,0.716666666666667,1,0.25269443855098
0.75,1,0.75,1,0.278865126857391
0.25,1.42364595898574,0.25,1.42364595898574,0.172330912744391
0.283333333333333,1.42364595898574,0.283333333333333,1.42364595898574,0.149556739535023
0.316666666666667,1.42364595898574,0.316666666666667,1.42364595898574,0.131101377871247
0.35,1.42364595898574,0.35,1.42364595898574,0.116964513142598
0.383333333333333,1.42364595898574,0.383333333333333,1.42364595898574,0.107642329860936
0.416666666666667,1.42364595898574,0.416666666666667,1.42364595898574,0.103572062180981
0.45,1.42364595898574,0.45,1.42364595898574,0.104100045284305
0.483333333333333,1.42364595898574,0.483333333333333,1.42364595898574,0.109174640409081
0.516666666666667,1.42364595898574,0.516666666666667,1.42364595898574,0.118414046763064
0.55,1.42364595898574,0.55,1.42364595898574,0.13122550063162
0.583333333333333,1.42364595898574,0.583333333333333,1.42364595898574,0.147558798578823
0.616666666666667,1.42364595898574,0.616666666666667,1.42364595898574,0.16721684517931
0.65,1.42364595898574,0.65,1.42364595898574,0.189293187394357
0.683333333333333,1.42364595898574,0.683333333333333,1.42364595898574,0.21334731273081
0.716666666666667,1.42364595898574,0.716666666666667,1.42364595898574,0.239256675672419
0.75,1.42364595898574,0.75,1.42364595898574,0.266730178953859
0.25,2.02676781653642,0.25,2.02676781653642,0.150750327763376
0.283333333333333,2.02676781653642,0.283333333333333,2.02676781653642,0.126036840140829
0.316666666666667,2.02676781653642,0.316666666666667,2.02676781653642,0.105554501877016
0.35,2.02676781653642,0.35,2.02676781653642,0.0900699265041691
0.383333333333333,2.02676781653642,0.383333333333333,2.02676781653642,0.0799460382401632
0.416666666666667,2.02676781653642,0.416666666666667,2.02676781653642,0.0762559869838491
0.45,2.02676781653642,0.45,2.02676781653642,0.0781084955692761
0.483333333333333,2.02676781653642,0.483333333333333,2.02676781653642,0.085423170502955
0.516666666666667,2.02676781653642,0.516666666666667,2.02676781653642,0.0971389009108923
0.55,2.02676781653642,0.55,2.02676781653642,0.113114655469556
0.583333333333333,2.02676781653642,0.583333333333333,2.02676781653642,0.132718159347758
0.616666666666667,2.02676781653642,0.616666666666667,2.02676781653642,0.154516873826121
0.65,2.02676781653642,0.65,2.02676781653642,0.178221730896105
0.683333333333333,2.02676781653642,0.683333333333333,2.02676781653642,0.203391277705351
0.716666666666667,2.02676781653642,0.716666666666667,2.02676781653642,0.229885765254216
0.75,2.02676781653642,0.75,2.02676781653642,0.257588369399872
0.25,2.88539981181443,0.25,2.88539981181443,0.134288858834359
0.283333333333333,2.88539981181443,0.283333333333333,2.88539981181443,0.107806739993369
0.316666666666667,2.88539981181443,0.316666666666667,2.88539981181443,0.0855126335416751
0.35,2.88539981181443,0.35,2.88539981181443,0.0682768916542901
0.383333333333333,2.88539981181443,0.383333333333333,2.88539981181443,0.0571160274478838
0.416666666666667,2.88539981181443,0.416666666666667,2.88539981181443,0.05397793161368
0.45,2.88539981181443,0.45,2.88539981181443,0.0579594192744308
0.483333333333333,2.88539981181443,0.483333333333333,2.88539981181443,0.0680582337963168
0.516666666666667,2.88539981181443,0.516666666666667,2.88539981181443,0.0836384985202784
