family,n_successful,tau_mean,tau_sd,tau_median,tau_q05,tau_q95,ci_width,tau_true,tau_bias,selection_freq
t,100,0.598513861769646,0.00781835641371131,0.599180159277506,0.584578119546023,0.609132761718846,0.0245546421728228,0.598225495357016,0.000288366412629637,0.28
frank,100,0.619152861742881,0.00737098502158162,0.619802501741748,0.60797521863055,0.632191522799966,0.0242163041694158,0.618679546901297,0.000473314841583861,0.72
